dataset,best_lambda,best_beta,selection,node_accuracy,link_auc,weighted_score
cora,0.200000,0.300000,0.7*node_acc+0.3*link_auc,0.148694,0.725533,0.321746
blogcatalog,0.300000,0.100000,0.7*node_acc+0.3*link_auc,0.200737,0.647103,0.334647
