dataset,lambda,beta,embed_time_sec,node_accuracy_mean,node_accuracy_std,link_auc,link_ap,weighted_score,vectors
blogcatalog,0.300000,0.150000,0.140583,0.177075,0.000000,0.605975,0.609569,0.305745,runs_real/blogcatalog_sweep_dense/vec_l0p300_b0p150.txt
blogcatalog,0.250000,0.000000,0.136301,0.162723,0.000000,0.637090,0.606480,0.305033,runs_real/blogcatalog_sweep_dense/vec_l0p250_b0p000.txt
blogcatalog,0.100000,0.400000,0.151170,0.164663,0.000000,0.631767,0.611479,0.304794,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p400.txt
blogcatalog,0.050000,0.200000,0.161897,0.164469,0.000000,0.631150,0.613909,0.304473,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p200.txt
blogcatalog,0.050000,0.300000,0.156204,0.167960,0.000000,0.622613,0.624964,0.304356,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p300.txt
blogcatalog,0.000000,0.050000,0.147444,0.167572,0.000000,0.622555,0.604440,0.304067,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p050.txt
blogcatalog,0.000000,0.350000,0.155360,0.173584,0.000000,0.606210,0.608638,0.303372,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p350.txt
blogcatalog,0.100000,0.300000,0.170614,0.164856,0.000000,0.626041,0.612887,0.303211,runs_real/blogcatalog_sweep_dense/vec_l0p100_b0p300.txt
blogcatalog,0.000000,0.000000,0.150802,0.157486,0.000000,0.640299,0.599262,0.302330,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p000.txt
blogcatalog,0.000000,0.100000,0.162539,0.161753,0.000000,0.628280,0.615884,0.301711,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p100.txt
blogcatalog,0.000000,0.300000,0.160171,0.173390,0.000000,0.597126,0.592416,0.300511,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p300.txt
blogcatalog,0.150000,0.000000,0.157739,0.185221,0.000000,0.568375,0.580106,0.300167,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p000.txt
blogcatalog,0.000000,0.200000,0.163096,0.173002,0.000000,0.596719,0.586284,0.300117,runs_real/blogcatalog_sweep_dense/vec_l0p000_b0p200.txt
blogcatalog,0.150000,0.350000,0.140174,0.171839,0.000000,0.595242,0.597583,0.298860,runs_real/blogcatalog_sweep_dense/vec_l0p150_b0p350.txt
blogcatalog,0.050000,0.350000,0.161343,0.152056,0.000000,0.636330,0.607094,0.297338,runs_real/blogcatalog_sweep_dense/vec_l0p050_b0p350.txt
