dataset,method,alpha,knn_k,weight_build_time_sec,embed_time_sec,eval_time_sec,total_time_sec,node_accuracy_mean,node_accuracy_std,link_auc,link_ap,vectors
blogcatalog,compile,,,0.000000,0.000000,0.000000,0.004377,,,,,-
blogcatalog,louvainNE,,,0.000000,0.366567,6.637409,7.003977,0.164081,0.000000,0.595018,0.597365,runs_real/blogcatalog/vec_base.txt
blogcatalog,attr-louvainNE,,,0.000000,1.345535,6.727037,8.072572,0.185415,0.000000,0.638491,0.612318,runs_real/blogcatalog/vec_attr.txt
blogcatalog,deepwalk,,,0.000000,7.129894,6.213536,13.343430,0.137898,0.000000,0.499926,0.500696,runs_real/blogcatalog/vec_deepwalk.txt
blogcatalog,node2vec,,,0.000000,11.095944,6.160499,17.256443,0.137898,0.000000,0.500148,0.501460,runs_real/blogcatalog/vec_node2vec.txt
blogcatalog,method1-preserve,0.800000,5,1.969085,0.516215,6.219623,8.704922,0.185415,0.000000,0.623193,0.616071,runs_real/blogcatalog/vec_method1_preserve.txt
blogcatalog,method1-augment,0.800000,5,13.830118,0.573832,6.155524,20.559474,0.229441,0.000000,0.658456,0.631779,runs_real/blogcatalog/vec_method1_augment.txt
