dataset,lambda,beta,embed_time_sec,node_accuracy_mean,node_accuracy_std,link_auc,link_ap,weighted_score,vectors
cora,0.400000,0.300000,0.496271,0.126665,0.000000,0.709086,0.785297,0.301391,runs_real/cora_sweep_dense/vec_l0p400_b0p300.txt
cora,0.400000,0.100000,0.484974,0.125777,0.000000,0.709164,0.786699,0.300793,runs_real/cora_sweep_dense/vec_l0p400_b0p100.txt
cora,0.100000,0.200000,0.493515,0.126310,0.000000,0.706553,0.782128,0.300383,runs_real/cora_sweep_dense/vec_l0p100_b0p200.txt
cora,0.100000,0.250000,0.480854,0.123468,0.000000,0.713063,0.785130,0.300346,runs_real/cora_sweep_dense/vec_l0p100_b0p250.txt
cora,0.050000,0.050000,0.503695,0.129508,0.000000,0.696150,0.771320,0.299501,runs_real/cora_sweep_dense/vec_l0p050_b0p050.txt
cora,0.200000,0.150000,0.495648,0.121691,0.000000,0.712898,0.788148,0.299053,runs_real/cora_sweep_dense/vec_l0p200_b0p150.txt
cora,0.300000,0.100000,0.483890,0.118316,0.000000,0.719761,0.790785,0.298750,runs_real/cora_sweep_dense/vec_l0p300_b0p100.txt
cora,0.250000,0.050000,0.481511,0.119559,0.000000,0.714776,0.788813,0.298124,runs_real/cora_sweep_dense/vec_l0p250_b0p050.txt
cora,0.300000,0.300000,0.486150,0.115296,0.000000,0.723259,0.793627,0.297685,runs_real/cora_sweep_dense/vec_l0p300_b0p300.txt
cora,0.100000,0.000000,0.479537,0.122757,0.000000,0.701872,0.776582,0.296492,runs_real/cora_sweep_dense/vec_l0p100_b0p000.txt
cora,0.350000,0.350000,0.545075,0.120803,0.000000,0.706017,0.784761,0.296367,runs_real/cora_sweep_dense/vec_l0p350_b0p350.txt
cora,0.350000,0.000000,0.507487,0.113875,0.000000,0.720512,0.792832,0.295866,runs_real/cora_sweep_dense/vec_l0p350_b0p000.txt
cora,0.350000,0.150000,0.536111,0.111565,0.000000,0.721287,0.790179,0.294482,runs_real/cora_sweep_dense/vec_l0p350_b0p150.txt
cora,0.050000,0.200000,0.531893,0.117961,0.000000,0.705130,0.777082,0.294112,runs_real/cora_sweep_dense/vec_l0p050_b0p200.txt
cora,0.150000,0.300000,0.508860,0.115651,0.000000,0.710426,0.786385,0.294083,runs_real/cora_sweep_dense/vec_l0p150_b0p300.txt
cora,0.350000,0.250000,0.480818,0.111743,0.000000,0.718283,0.790605,0.293705,runs_real/cora_sweep_dense/vec_l0p350_b0p250.txt
cora,0.150000,0.250000,0.498435,0.115473,0.000000,0.708681,0.784095,0.293435,runs_real/cora_sweep_dense/vec_l0p150_b0p250.txt
cora,0.200000,0.250000,0.466918,0.111032,0.000000,0.718244,0.791586,0.293196,runs_real/cora_sweep_dense/vec_l0p200_b0p250.txt
cora,0.050000,0.000000,0.479713,0.114052,0.000000,0.707135,0.780987,0.291977,runs_real/cora_sweep_dense/vec_l0p050_b0p000.txt
cora,0.200000,0.350000,0.474427,0.108723,0.000000,0.718032,0.790558,0.291516,runs_real/cora_sweep_dense/vec_l0p200_b0p350.txt
cora,0.050000,0.400000,0.482113,0.116184,0.000000,0.697169,0.775393,0.290480,runs_real/cora_sweep_dense/vec_l0p050_b0p400.txt
cora,0.050000,0.300000,0.495036,0.109611,0.000000,0.711366,0.781294,0.290137,runs_real/cora_sweep_dense/vec_l0p050_b0p300.txt
cora,0.050000,0.150000,0.487949,0.108900,0.000000,0.712420,0.783378,0.289956,runs_real/cora_sweep_dense/vec_l0p050_b0p150.txt
cora,0.100000,0.300000,0.487449,0.112986,0.000000,0.695309,0.771454,0.287683,runs_real/cora_sweep_dense/vec_l0p100_b0p300.txt
cora,0.150000,0.000000,0.486231,0.112098,0.000000,0.696853,0.775518,0.287524,runs_real/cora_sweep_dense/vec_l0p150_b0p000.txt
cora,0.100000,0.100000,0.493753,0.102150,0.000000,0.717989,0.787269,0.286902,runs_real/cora_sweep_dense/vec_l0p100_b0p100.txt
cora,0.050000,0.350000,0.483290,0.109611,0.000000,0.698880,0.775263,0.286392,runs_real/cora_sweep_dense/vec_l0p050_b0p350.txt
cora,0.100000,0.400000,0.518633,0.105880,0.000000,0.706579,0.778415,0.286090,runs_real/cora_sweep_dense/vec_l0p100_b0p400.txt
cora,0.050000,0.250000,0.485281,0.103215,0.000000,0.702574,0.777161,0.283023,runs_real/cora_sweep_dense/vec_l0p050_b0p250.txt
cora,0.050000,0.100000,0.494728,0.105703,0.000000,0.695071,0.771538,0.282513,runs_real/cora_sweep_dense/vec_l0p050_b0p100.txt
cora,0.000000,0.100000,0.513308,0.113519,0.000000,0.676587,0.749980,0.282439,runs_real/cora_sweep_dense/vec_l0p000_b0p100.txt
cora,0.000000,0.050000,0.504537,0.114408,0.000000,0.669301,0.743575,0.280876,runs_real/cora_sweep_dense/vec_l0p000_b0p050.txt
cora,0.000000,0.350000,0.490616,0.105880,0.000000,0.677651,0.749118,0.277411,runs_real/cora_sweep_dense/vec_l0p000_b0p350.txt
cora,0.000000,0.300000,0.494500,0.108545,0.000000,0.671152,0.741759,0.277327,runs_real/cora_sweep_dense/vec_l0p000_b0p300.txt
cora,0.000000,0.150000,0.494627,0.107479,0.000000,0.665948,0.740958,0.275020,runs_real/cora_sweep_dense/vec_l0p000_b0p150.txt
cora,0.000000,0.200000,0.504727,0.101972,0.000000,0.676502,0.747332,0.274331,runs_real/cora_sweep_dense/vec_l0p000_b0p200.txt
cora,0.000000,0.000000,0.521971,0.100906,0.000000,0.671371,0.746343,0.272045,runs_real/cora_sweep_dense/vec_l0p000_b0p000.txt
cora,0.000000,0.250000,0.489711,0.102683,0.000000,0.664842,0.743034,0.271331,runs_real/cora_sweep_dense/vec_l0p000_b0p250.txt
cora,0.000000,0.400000,0.475170,0.090958,0.000000,0.664380,0.742050,0.262985,runs_real/cora_sweep_dense/vec_l0p000_b0p400.txt
